"model_key","model_name","display_model_name","method_family","source_stage","model_type","metric_name","metric_value"
"Deep Learning__Python__shallow_neural_network","shallow_neural_network","Deep Learning - Shallow Neural Network","Deep Learning","Python","model","precision",0.705882352941177
"Deep Learning__Python__shallow_neural_network","shallow_neural_network","Deep Learning - Shallow Neural Network","Deep Learning","Python","model","recall",0.923076923076923
"Deep Learning__Python__shallow_neural_network","shallow_neural_network","Deep Learning - Shallow Neural Network","Deep Learning","Python","model","specificity",0.995274102079395
"Deep Learning__Python__shallow_neural_network","shallow_neural_network","Deep Learning - Shallow Neural Network","Deep Learning","Python","model","balanced_accuracy",0.959175512578159
"Deep Learning__Python__shallow_neural_network","shallow_neural_network","Deep Learning - Shallow Neural Network","Deep Learning","Python","model","f1_score",0.8
"Deep Learning__Python__shallow_neural_network","shallow_neural_network","Deep Learning - Shallow Neural Network","Deep Learning","Python","model","auc",0.998909408172168
"Deep Learning__Python__deep_neural_network","deep_neural_network","Deep Learning - Deep Neural Network","Deep Learning","Python","model","accuracy",0.993464052287582
"Deep Learning__Python__deep_neural_network","deep_neural_network","Deep Learning - Deep Neural Network","Deep Learning","Python","model","precision",0.65
"Deep Learning__Python__deep_neural_network","deep_neural_network","Deep Learning - Deep Neural Network","Deep Learning","Python","model","recall",1
"Deep Learning__Python__deep_neural_network","deep_neural_network","Deep Learning - Deep Neural Network","Deep Learning","Python","model","specificity",0.993383742911153
"Deep Learning__Python__deep_neural_network","deep_neural_network","Deep Learning - Deep Neural Network","Deep Learning","Python","model","balanced_accuracy",0.996691871455577
"Deep Learning__Python__deep_neural_network","deep_neural_network","Deep Learning - Deep Neural Network","Deep Learning","Python","model","f1_score",0.787878787878788
"Deep Learning__Python__deep_neural_network","deep_neural_network","Deep Learning - Deep Neural Network","Deep Learning","Python","model","auc",0.99840046531918
"Deep Learning__Python__wide_neural_network","wide_neural_network","Deep Learning - Wide Neural Network","Deep Learning","Python","model","accuracy",0.994397759103641
"Deep Learning__Python__wide_neural_network","wide_neural_network","Deep Learning - Wide Neural Network","Deep Learning","Python","model","precision",0.705882352941177
"Deep Learning__Python__wide_neural_network","wide_neural_network","Deep Learning - Wide Neural Network","Deep Learning","Python","model","recall",0.923076923076923
"Deep Learning__Python__wide_neural_network","wide_neural_network","Deep Learning - Wide Neural Network","Deep Learning","Python","model","specificity",0.995274102079395
"Deep Learning__Python__wide_neural_network","wide_neural_network","Deep Learning - Wide Neural Network","Deep Learning","Python","model","balanced_accuracy",0.959175512578159
"Deep Learning__Python__wide_neural_network","wide_neural_network","Deep Learning - Wide Neural Network","Deep Learning","Python","model","f1_score",0.8
"Deep Learning__Python__wide_neural_network","wide_neural_network","Deep Learning - Wide Neural Network","Deep Learning","Python","model","auc",0.999272938781445
"Deep Learning__Python__narrow_deep_neural_network","narrow_deep_neural_network","Deep Learning - Narrow Deep Neural Network","Deep Learning","Python","model","accuracy",0.989729225023343
"Deep Learning__Python__narrow_deep_neural_network","narrow_deep_neural_network","Deep Learning - Narrow Deep Neural Network","Deep Learning","Python","model","precision",0.545454545454545
"Deep Learning__Python__narrow_deep_neural_network","narrow_deep_neural_network","Deep Learning - Narrow Deep Neural Network","Deep Learning","Python","model","recall",0.923076923076923
"Deep Learning__Python__narrow_deep_neural_network","narrow_deep_neural_network","Deep Learning - Narrow Deep Neural Network","Deep Learning","Python","model","specificity",0.99054820415879
"Deep Learning__Python__narrow_deep_neural_network","narrow_deep_neural_network","Deep Learning - Narrow Deep Neural Network","Deep Learning","Python","model","balanced_accuracy",0.956812563617857
"Deep Learning__Python__narrow_deep_neural_network","narrow_deep_neural_network","Deep Learning - Narrow Deep Neural Network","Deep Learning","Python","model","f1_score",0.685714285714286
"Deep Learning__Python__narrow_deep_neural_network","narrow_deep_neural_network","Deep Learning - Narrow Deep Neural Network","Deep Learning","Python","model","auc",0.997673404100625
"Deep Learning__Python__dropout_neural_network","dropout_neural_network","Deep Learning - Dropout Neural Network","Deep Learning","Python","model","accuracy",0.993464052287582
"Deep Learning__Python__dropout_neural_network","dropout_neural_network","Deep Learning - Dropout Neural Network","Deep Learning","Python","model","precision",0.65
"Deep Learning__Python__dropout_neural_network","dropout_neural_network","Deep Learning - Dropout Neural Network","Deep Learning","Python","model","recall",1
"Deep Learning__Python__dropout_neural_network","dropout_neural_network","Deep Learning - Dropout Neural Network","Deep Learning","Python","model","specificity",0.993383742911153
"Deep Learning__Python__dropout_neural_network","dropout_neural_network","Deep Learning - Dropout Neural Network","Deep Learning","Python","model","balanced_accuracy",0.996691871455577
"Deep Learning__Python__dropout_neural_network","dropout_neural_network","Deep Learning - Dropout Neural Network","Deep Learning","Python","model","f1_score",0.787878787878788
"Deep Learning__Python__dropout_neural_network","dropout_neural_network","Deep Learning - Dropout Neural Network","Deep Learning","Python","model","auc",0.999272938781445

